language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
TIMBE	tim	all	98	9	horowok	10	h o r o w o k	
NABAK	naf	all	98	9	ilinsakpep	11	i l i n s a k p e p	
MOMOLILI	mci	all	98	9	p3s3kpep	12	p 3 s 3 k p e p	
KATE	kmg	many	1198	10	bo7yaha	1	b o 7 y a h a	
MAPE_2	mlh	many	1198	10	boiaha	1	b o i a h a	
DEDUA	ded	many	1198	10	homak	2	h o m a k	
HUBE	kgf	many	1198	10	sasara	3	s a s a r a	
TOBO	tbv	many	1198	10	sesia	3	s e s i a	
KOSORONG	ksr	many	1198	10	mamagu	4	m a m a g u	
MINDIK	bmu	many	1198	10	seseNi	3	s e s e N i	
BURUM	bmu	many	1198	10	gotpok	5	g o t p o k	
ONO	ons	many	1198	10	louloutNe	6	l o u l o u t N e	
KOMBA	kpf	many	1198	10	biwiro	7	b i w i r o	
SELEPET	spl	many	1198	10	biwiro	7	b i w i r o	
TIMBE	tim	many	1198	10	biwiro	7	b i w i r o	
NABAK	naf	many	1198	10	kilisik	8	k i l i s i k	
MOMOLILI	mci	many	1198	10	kirisi	8	k i r i s i	
KATE	kmg	one	1493	11	moyaha	1	m o y a h a	
MAPE_2	mlh	one	1493	11	mokotoN	2	m o k o t o N	
DEDUA	ded	one	1493	11	mokgu	1	m o k g u	
HUBE	kgf	one	1493	11	momakgu	1	m o m a k g u	
TOBO	tbv	one	1493	11	mohok	3	m o h o k	
KOSORONG	ksr	one	1493	11	motoNgok	4	m o t o N g o k	
MINDIK	bmu	one	1493	11	mokuN	1	m o k u N	
BURUM	bmu	one	1493	11	mohot	3	m o h o t	
ONO	ons	one	1493	11	weku	5	w e k u	
KOMBA	kpf	one	1493	11	konok	6	k o n o k	
SELEPET	spl	one	1493	11	konok	6	k o n o k	
TIMBE	tim	one	1493	11	konok	6	k o n o k	
NABAK	naf	one	1493	11	kpep	7	k p e p	
MOMOLILI	mci	one	1493	11	kpeci	7	k p e c i	
KATE	kmg	two	1498	12	yayahe7	1	y a y a h e 7	
MAPE_2	mlh	two	1498	12	yoyokak	1	y o y o k a k	
DEDUA	ded	two	1498	12	yohokaN	1	y o h o k a N	
HUBE	kgf	two	1498	12	rehek	2	r e h e k	
TOBO	tbv	two	1498	12	rohot	2	r o h o t	
KOSORONG	ksr	two	1498	12	woik	3	w o i k	
MINDIK	bmu	two	1498	12	woit	3	w o i t	
BURUM	bmu	two	1498	12	yahat	2	y a h a t	
ONO	ons	two	1498	12	etke	4	e t k e	
KOMBA	kpf	two	1498	12	zohot	2	z o h o t	
SELEPET	spl	two	1498	12	yohop	2	y o h o p	
TIMBE	tim	two	1498	12	louwo	5	l o u w o	
NABAK	naf	two	1498	12	cut	6	c u t	
MOMOLILI	mci	two	1498	12	ceba	7	c e b a	
KATE	kmg	big	1202	13	ko7gbene	1	k o 7 g b e n e	
MAPE_2	mlh	big	1202	13	yasogo	2	y a s o g o	
DEDUA	ded	big	1202	13	kuneN	3	k u n e N	
HUBE	kgf	big	1202	13	kuneN	3	k u n e N	
TOBO	tbv	big	1202	13	baia	4	b a i a	
KOSORONG	ksr	big	1202	13	somata	5	s o m a t a	
MINDIK	bmu	big	1202	13	ketaNi	6	k e t a N i	
BURUM	bmu	big	1202	13	ketaNi	6	k e t a N i	
ONO	ons	big	1202	13	suaine	7	s u a i n e	
KOMBA	kpf	big	1202	13	pato	8	p a t o	
SELEPET	spl	big	1202	13	pato	8	p a t o	
TIMBE	tim	big	1202	13	humo	9	h u m o	
NABAK	naf	big	1202	13	taemba	10	t a e m b a	
MOMOLILI	mci	big	1202	13	k3itn	11	k 3 i t n	
KATE	kmg	long	1203	14	cori7ne	1	c o r i 7 n e	
MAPE_2	mlh	long	1203	14	coraikne	1	c o r a i k n e	
DEDUA	ded	long	1203	14	herea	2	h e r e a	
HUBE	kgf	long	1203	14	horua	2	h o r u a	
TOBO	tbv	long	1203	14	korua	2	k o r u a	
KOSORONG	ksr	long	1203	14	koriga	2	k o r i g a	
MINDIK	bmu	long	1203	14	koripNi	2	k o r i p N i	
BURUM	bmu	long	1203	14	koripNi	2	k o r i p N i	
ONO	ons	long	1203	14	kiroine	2	k i r o i n e	
KOMBA	kpf	long	1203	14	korep	2	k o r e p	
SELEPET	spl	long	1203	14	kolip	2	k o l i p	
TIMBE	tim	long	1203	14	kolip	2	k o l i p	
NABAK	naf	long	1203	14	tepm3N	3	t e p m 3 N	
MOMOLILI	mci	long	1203	14	kepm	4	k e p m	
KATE	kmg	small	1246	15	piti7ne	1	p i t i 7 n e	
MAPE_2	mlh	small	1246	15	mendakne	2	m e n d a k n e	
DEDUA	ded	small	1246	15	kapia	3	k a p i a	
HUBE	kgf	small	1246	15	komoga	4	k o m o g a	
TOBO	tbv	small	1246	15	komora	4	k o m o r a	
KOSORONG	ksr	small	1246	15	merak	5	m e r a k	
MINDIK	bmu	small	1246	15	komokNi	4	k o m o k N i	
BURUM	bmu	small	1246	15	moroNi	6	m o r o N i	
ONO	ons	small	1246	15	nigatne	7	n i g a t n e	
KOMBA	kpf	small	1246	15	moikto	8	m o i k t o	
SELEPET	spl	small	1246	15	tipiNe	9	t i p i N e	
TIMBE	tim	small	1246	15	boleNe	10	b o l e N e	
NABAK	naf	small	1246	15	isikN3n	11	i s i k N 3 n	
MOMOLILI	mci	small	1246	15	namzi	12	n a m z i	
KATE	kmg	woman	962	16	Noka7	1	N o k a 7	
MAPE_2	mlh	woman	962	16	Nigok	1	N i g o k	
DEDUA	ded	woman	962	16	Nak	1	N a k	
HUBE	kgf	woman	962	16	embak	2	e m b a k	
TOBO	tbv	woman	962	16	embat	2	e m b a t	
KOSORONG	ksr	woman	962	16	embak	2	e m b a k	
MINDIK	bmu	woman	962	16	ambi	2	a m b i	
BURUM	bmu	woman	962	16	ambi	2	a m b i	
ONO	ons	woman	962	16	Nerep	3	N e r e p	
KOMBA	kpf	woman	962	16	abon	2	a b o n	
SELEPET	spl	woman	962	16	ibi	2	i b i	
TIMBE	tim	woman	962	16	oboi	2	o b o i	
NABAK	naf	woman	962	16	imbi	2	i m b i	
MOMOLILI	mci	woman	962	16	imbi	2	i m b i	
KATE	kmg	man	1554	17	Ni7	1	N i 7	
MAPE_2	mlh	man	1554	17	Nik	1	N i k	
DEDUA	ded	man	1554	17	Nik	1	N i k	
HUBE	kgf	man	1554	17	ik	1	i k	
TOBO	tbv	man	1554	17	ip	1	i p	
KOSORONG	ksr	man	1554	17	ecak	2	e c a k	
MINDIK	bmu	man	1554	17	aiwi	3	a i w i	
BURUM	bmu	man	1554	17	aci	4	a c i	
ONO	ons	man	1554	17	Nei	1	N e i	
KOMBA	kpf	man	1554	17	a	5	a	
SELEPET	spl	man	1554	17	lok	6	l o k	
TIMBE	tim	man	1554	17	luok	6	l u o k	
NABAK	naf	man	1554	17	an	5	a n	
MOMOLILI	mci	man	1554	17	a*	5	a*	
KATE	kmg	bird	937	20	wipe	1	w i p e	
MAPE_2	mlh	bird	937	20	woro	2	w o r o	
DEDUA	ded	bird	937	20	neN	3	n e N	
HUBE	kgf	bird	937	20	nei	3	n e i	
TOBO	tbv	bird	937	20	ni	3	n i	
KOSORONG	ksr	bird	937	20	koN	4	k o N	
MINDIK	bmu	bird	937	20	nei	3	n e i	
BURUM	bmu	bird	937	20	nei	3	n e i	
ONO	ons	bird	937	20	naNi	3	n a N i	
KOMBA	kpf	bird	937	20	ni	3	n i	
SELEPET	spl	bird	937	20	noi	3	n o i	
TIMBE	tim	bird	937	20	laut	5	l a u t	
NABAK	naf	bird	937	20	aga	6	a g a	
MOMOLILI	mci	bird	937	20	lau	5	l a u	
KATE	kmg	dog	2009	21	kp~oto	1	kp~ o t o	
MAPE_2	mlh	dog	2009	21	kp~oro	1	kp~ o r o	
DEDUA	ded	dog	2009	21	kasi	2	k a s i	
HUBE	kgf	dog	2009	21	kacu	2	k a c u	
TOBO	tbv	dog	2009	21	kiam	3	k i a m	
KOSORONG	ksr	dog	2009	21	kasuk	2	k a s u k	
MINDIK	bmu	dog	2009	21	kiam	3	k i a m	
BURUM	bmu	dog	2009	21	kiam	3	k i a m	
ONO	ons	dog	2009	21	kasi	2	k a s i	
KOMBA	kpf	dog	2009	21	wau	4	w a u	
SELEPET	spl	dog	2009	21	soso	5	s o s o	
TIMBE	tim	dog	2009	21	dua	6	d u a	
NABAK	naf	dog	2009	21	tam	7	t a m	
MOMOLILI	mci	dog	2009	21	ta	7	t a	
KATE	kmg	louse	1392	22	imeN	1	i m e N	
MAPE_2	mlh	louse	1392	22	imeN	1	i m e N	
DEDUA	ded	louse	1392	22	yomiN	1	y o m i N	
HUBE	kgf	louse	1392	22	imin	1	i m i n	
TOBO	tbv	louse	1392	22	imin	1	i m i n	
KOSORONG	ksr	louse	1392	22	imoN	1	i m o N	
MINDIK	bmu	louse	1392	22	imin	1	i m i n	
BURUM	bmu	louse	1392	22	imin	1	i m i n	
ONO	ons	louse	1392	22	emen	1	e m e n	
KOMBA	kpf	louse	1392	22	imen	1	i m e n	
SELEPET	spl	louse	1392	22	imen	1	i m e n	
TIMBE	tim	louse	1392	22	imen	1	i m e n	
NABAK	naf	louse	1392	22	emin	1	e m i n	
MOMOLILI	mci	louse	1392	22	l3m	2	l 3 m	
KATE	kmg	tree	906	23	yo7	1	y o 7	
MAPE_2	mlh	tree	906	23	yok	1	y o k	
DEDUA	ded	tree	906	23	ik	2	i k	
HUBE	kgf	tree	906	23	ik	2	i k	
TOBO	tbv	tree	906	23	ip	2	i p	
KOSORONG	ksr	tree	906	23	ik	2	i k	
MINDIK	bmu	tree	906	23	ip	2	i p	
BURUM	bmu	tree	906	23	ip	2	i p	
ONO	ons	tree	906	23	eki	3	e k i	
KOMBA	kpf	tree	906	23	nak	4	n a k	
SELEPET	spl	tree	906	23	nak	4	n a k	
TIMBE	tim	tree	906	23	lowin	5	l o w i n	
NABAK	naf	tree	906	23	t3p	6	t 3 p	
MOMOLILI	mci	tree	906	23	t3	6	t 3	
KATE	kmg	seed	714	24	hondoN	1	h o n d o N	
MAPE_2	mlh	seed	714	24	fonoN	2	f o n o N	
DEDUA	ded	seed	714	24	honduN	1	h o n d u N	
HUBE	kgf	seed	714	24	gokme	3	g o k m e	
TOBO	tbv	seed	714	24	gopi	4	g o p i	
KOSORONG	ksr	seed	714	24	kota	5	k o t a	
MINDIK	bmu	seed	714	24	kot	5	k o t	
BURUM	bmu	seed	714	24	kot	5	k o t	
ONO	ons	seed	714	24	wau	6	w a u	
KOMBA	kpf	seed	714	24	ket	7	k e t	
SELEPET	spl	seed	714	24	kehet	7	k e h e t	
TIMBE	tim	seed	714	24	kodet	8	k o d e t	
NABAK	naf	seed	714	24	k3t	5	k 3 t	
MOMOLILI	mci	seed	714	24	k3t	5	k 3 t	
KATE	kmg	leaf	628	25	reha7	1	r e h a 7	"stem, ""its leaf"""
MAPE_2	mlh	leaf	628	25	rekak	1	r e k a k	
DEDUA	ded	leaf	628	25	mari	2	m a r i	"stem, ""its leaf"""
HUBE	kgf	leaf	628	25	hareN	3	h a r e N	"stem, ""its leaf"""
TOBO	tbv	leaf	628	25	karem	3	k a r e m	"stem, ""its leaf"""
KOSORONG	ksr	leaf	628	25	seN	4	s e N	
MINDIK	bmu	leaf	628	25	sin	4	s i n	
BURUM	bmu	leaf	628	25	sin	4	s i n	
ONO	ons	leaf	628	25	meti	5	m e t i	"stem, ""its leaf"""
KOMBA	kpf	leaf	628	25	in	4	i n	"stem, ""its leaf"""
SELEPET	spl	leaf	628	25	esen	4	e s e n	"stem, ""its leaf"""
TIMBE	tim	leaf	628	25	esen	4	e s e n	"stem, ""its leaf"""
NABAK	naf	leaf	628	25	sin	4	s i n	"stem, ""its leaf"""
MOMOLILI	mci	leaf	628	25	sin	4	s i n	"stem, ""its leaf"""
KATE	kmg	root	670	26	goto	1	g o t o	
MAPE_2	mlh	root	670	26	goru	1	g o r u	
DEDUA	ded	root	670	26	gode	1	g o d e	
HUBE	kgf	root	670	26	gete	1	g e t e	
TOBO	tbv	root	670	26	onde	2	o n d e	
KOSORONG	ksr	root	670	26	tita	3	t i t a	
MINDIK	bmu	root	670	26	calo	4	c a l o	
BURUM	bmu	root	670	26	calo	4	c a l o	
ONO	ons	root	670	26	Nodi	5	N o d i	
KOMBA	kpf	root	670	26	odoN	2	o d o N	
SELEPET	spl	root	670	26	gihit	6	g i h i t	
TIMBE	tim	root	670	26	kodoro	7	k o d o r o	
NABAK	naf	root	670	26	kindi	7	k i n d i	
MOMOLILI	mci	root	670	26	kindiri	7	k i n d i r i	
KATE	kmg	skin	763	28	saha7	1	s a h a 7	"stem, ""its skin"""
MAPE_2	mlh	skin	763	28	mocu	2	m o c u	
DEDUA	ded	skin	763	28	sebi	3	s e b i	"stem, ""its skin"""
HUBE	kgf	skin	763	28	sewira	3	s e w i r a	"stem, ""its skin"""
TOBO	tbv	skin	763	28	sowol	3	s o w o l	"stem, ""its skin"""
KOSORONG	ksr	skin	763	28	sele	4	s e l e	
MINDIK	bmu	skin	763	28	sele	4	s e l e	
BURUM	bmu	skin	763	28	sile	4	s i l e	
ONO	ons	skin	763	28	solai	4	s o l a i	"stem, ""its skin"""
KOMBA	kpf	skin	763	28	sok	5	s o k	"stem, ""its skin"""
SELEPET	spl	skin	763	28	hok	5	h o k	"stem, ""its skin"""
TIMBE	tim	skin	763	28	hok	5	h o k	"stem, ""its skin"""
NABAK	naf	skin	763	28	s3k	5	s 3 k	"stem, ""its skin"""
MOMOLILI	mci	skin	763	28	s3k	5	s 3 k	"stem, ""its skin"""
KATE	kmg	meat	634	29	bihu7	1	b i h u 7	
MAPE_2	mlh	meat	634	29	biu	1	b i u	
DEDUA	ded	meat	634	29	fusi	2	f u s i	
HUBE	kgf	meat	634	29	busi	2	b u s i	
TOBO	tbv	meat	634	29	busi	2	b u s i	
KOSORONG	ksr	meat	634	29	busi	2	b u s i	
MINDIK	bmu	meat	634	29	busu	2	b u s u	
BURUM	bmu	meat	634	29	busu	2	b u s u	
ONO	ons	meat	634	29	biku	1	b i k u	
KOMBA	kpf	meat	634	29	sunum	3	s u n u m	
SELEPET	spl	meat	634	29	sunum	3	s u n u m	
TIMBE	tim	meat	634	29	sunum	3	s u n u m	
NABAK	naf	meat	634	29	s3sumbaN	4	s 3 s u m b a N	
MOMOLILI	mci	meat	634	29	mirik	5	m i r i k	
KATE	kmg	blood	946	30	so7	1	s o 7	"stem, ""its blood"""
MAPE_2	mlh	blood	946	30	dari	2	d a r i	
DEDUA	ded	blood	946	30	sawa	1	s a w a	"stem, ""its blood"""
HUBE	kgf	blood	946	30	sawa	1	s a w a	"stem, ""its blood"""
TOBO	tbv	blood	946	30	sap	1	s a p	"stem, ""its blood"""
KOSORONG	ksr	blood	946	30	saya	1	s a y a	
MINDIK	bmu	blood	946	30	sep	1	s e p	
BURUM	bmu	blood	946	30	sep	1	s e p	
ONO	ons	blood	946	30	weNemi	3	w e N e m i	"stem, ""its blood"""
KOMBA	kpf	blood	946	30	sep	1	s e p	"stem, ""its blood"""
SELEPET	spl	blood	946	30	hep	1	h e p	"stem, ""its blood"""
TIMBE	tim	blood	946	30	gilom	4	g i l o m	"stem, ""its blood"""
NABAK	naf	blood	946	30	sip	1	s i p	"stem, ""its blood"""
MOMOLILI	mci	blood	946	30	sip	1	s i p	"stem, ""its blood"""
KATE	kmg	bone	1394	31	sie7	1	s i e 7	"stem, ""its bone"""
MAPE_2	mlh	bone	1394	31	siak	1	s i a k	
DEDUA	ded	bone	1394	31	sir	1	s i r	"stem, ""its bone"""
HUBE	kgf	bone	1394	31	sigl~	1	s i gl~	"stem, ""its bone"""
TOBO	tbv	bone	1394	31	sihit	1	s i h i t	"stem, ""its bone"""
KOSORONG	ksr	bone	1394	31	sita	1	s i t a	
MINDIK	bmu	bone	1394	31	sihit	1	s i h i t	
BURUM	bmu	bone	1394	31	sihit	1	s i h i t	
ONO	ons	bone	1394	31	set	1	s e t	"stem, ""its bone"""
KOMBA	kpf	bone	1394	31	ton	2	t o n	"stem, ""its bone"""
SELEPET	spl	bone	1394	31	hahit	1	h a h i t	"stem, ""its bone"""
TIMBE	tim	bone	1394	31	hahit	1	h a h i t	"stem, ""its bone"""
NABAK	naf	bone	1394	31	kanc~iN	3	k a nc~ i N	"stem, ""its bone"""
MOMOLILI	mci	bone	1394	31	siet	1	s i e t	"stem, ""its bone"""
KATE	kmg	fat	1282	32	wokemaN	1	w o k e m a N	
MAPE_2	mlh	fat	1282	32	wici	2	w i c i	
DEDUA	ded	fat	1282	32	wokemaN	1	w o k e m a N	
HUBE	kgf	fat	1282	32	harek	3	h a r e k	
TOBO	tbv	fat	1282	32	kalak	3	k a l a k	
KOSORONG	ksr	fat	1282	32	kelega	3	k e l e g a	
MINDIK	bmu	fat	1282	32	kelok	3	k e l o k	
BURUM	bmu	fat	1282	32	kelok	3	k e l o k	
ONO	ons	fat	1282	32	kelok	3	k e l o k	
KOMBA	kpf	fat	1282	32	kelok	3	k e l o k	
SELEPET	spl	fat	1282	32	kelu	3	k e l u	
TIMBE	tim	fat	1282	32	kelu	3	k e l u	
NABAK	naf	fat	1282	32	kerak	3	k e r a k	
MOMOLILI	mci	fat	1282	32	ker3k	3	k e r 3 k	
KATE	kmg	tail	1220	35	ge7	1	g e 7	
MAPE_2	mlh	tail	1220	35	ci	2	c i	
DEDUA	ded	tail	1220	35	ci	2	c i	
HUBE	kgf	tail	1220	35	ci	2	c i	
TOBO	tbv	tail	1220	35	ci	2	c i	
KOSORONG	ksr	tail	1220	35	dai	2	d a i	
MINDIK	bmu	tail	1220	35	lou	3	l o u	
BURUM	bmu	tail	1220	35	dai	2	d a i	
ONO	ons	tail	1220	35	dai	2	d a i	
KOMBA	kpf	tail	1220	35	da	2	d a	
SELEPET	spl	tail	1220	35	hape	4	h a p e	
TIMBE	tim	tail	1220	35	dape	4	d a p e	
NABAK	naf	tail	1220	35	dak	5	d a k	
MOMOLILI	mci	tail	1220	35	dak	5	d a k	
KATE	kmg	hair	1040	37	cowo	1	c o w o	
MAPE_2	mlh	hair	1040	37	kaNcaN	2	k a N c a N	
DEDUA	ded	hair	1040	37	cowe	1	c o w e	
HUBE	kgf	hair	1040	37	cu	3	c u	
TOBO	tbv	hair	1040	37	cu	3	c u	
KOSORONG	ksr	hair	1040	37	cui	3	c u i	
MINDIK	bmu	hair	1040	37	cup	3	c u p	
BURUM	bmu	hair	1040	37	cup	3	c u p	
ONO	ons	hair	1040	37	cou	3	c o u	
KOMBA	kpf	hair	1040	37	somot	4	s o m o t	
SELEPET	spl	hair	1040	37	somot	4	s o m o t	
TIMBE	tim	hair	1040	37	dumut	4	d u m u t	
NABAK	naf	hair	1040	37	cup	3	c u p	
MOMOLILI	mci	hair	1040	37	cup	3	c u p	
KATE	kmg	head	1256	38	kp~ice7	1	kp~ i c e 7	
MAPE_2	mlh	head	1256	38	kp~oru	2	kp~ o r u	
DEDUA	ded	head	1256	38	fufu	3	f u f u	
HUBE	kgf	head	1256	38	ogu	4	o g u	
TOBO	tbv	head	1256	38	norok	5	n o r o k	
KOSORONG	ksr	head	1256	38	osoga	6	o s o g a	
MINDIK	bmu	head	1256	38	noruk	5	n o r u k	
BURUM	bmu	head	1256	38	noruk	5	n o r u k	
ONO	ons	head	1256	38	lewit	7	l e w i t	
KOMBA	kpf	head	1256	38	kauk	8	k a u k	
SELEPET	spl	head	1256	38	kun	9	k u n	
TIMBE	tim	head	1256	38	kaut	8	k a u t	
NABAK	naf	head	1256	38	Nokanci	9	N o k a n c i	
MOMOLILI	mci	head	1256	38	nok	10	n o k	
KATE	kmg	ear	1247	39	hace7	1	h a c e 7	"stem, ""its ear"""
MAPE_2	mlh	ear	1247	39	kace	1	k a c e	
DEDUA	ded	ear	1247	39	heca	1	h e c a	"stem, ""its ear"""
HUBE	kgf	ear	1247	39	geca	1	g e c a	"stem, ""its ear"""
TOBO	tbv	ear	1247	39	kesap	1	k e s a p	"stem, ""its ear"""
KOSORONG	ksr	ear	1247	39	geca	1	g e c a	
MINDIK	bmu	ear	1247	39	kecap	1	k e c a p	
BURUM	bmu	ear	1247	39	kecap	1	k e c a p	
ONO	ons	ear	1247	39	ket	1	k e t	"stem, ""its ear"""
KOMBA	kpf	ear	1247	39	kidap	1	k i d a p	"stem, ""its ear"""
SELEPET	spl	ear	1247	39	odop	2	o d o p	"stem, ""its ear"""
TIMBE	tim	ear	1247	39	odop	2	o d o p	"stem, ""its ear"""
NABAK	naf	ear	1247	39	wak	3	w a k	"stem, ""its ear"""
MOMOLILI	mci	ear	1247	39	b3b3t	4	b 3 b 3 t	"stem, ""its ear"""
KATE	kmg	eye	1248	40	coNe	1	c o N e	"stem, ""its eye"""
MAPE_2	mlh	eye	1248	40	ciNo	1	c i N o	
DEDUA	ded	eye	1248	40	kiwa	2	k i w a	"stem, ""its eye"""
HUBE	kgf	eye	1248	40	kiwa	2	k i w a	"stem, ""its eye"""
TOBO	tbv	eye	1248	40	kp~at	3	kp~ a t	"stem, ""its eye"""
KOSORONG	ksr	eye	1248	40	ca	4	c a	
MINDIK	bmu	eye	1248	40	ce	4	c e	
